;City;Place found;Latitude;Longitude;Obscuration;Magnitude
46;Boguszów-Gorce ;Boguszów-Gorce, powiat wałbrzyski, województwo dolnośląskie, Polska;50.7553;16.1964;8.8;0.18
47;Bojanowo ;Bojanowo, gmina Bojanowo, powiat rawicki, województwo wielkopolskie, Polska;51.7075;16.7481;10.4;0.202
48;Bolesławiec ;Bolesławiec, powiat bolesławiecki, województwo dolnośląskie, Polska;51.2630;15.5651;10.0;0.197
49;Bolków ;Bolków, gmina Bolków, powiat jaworski, województwo dolnośląskie, 59-420, Polska;50.9220;16.1007;9.1;0.185
50;Borek Wielkopolski ;Borek Wielkopolski, gmina Borek Wielkopolski, powiat gostyński, województwo wielkopolskie, 63-810, Polska;51.9162;17.2426;10.6;0.204
51;Borne Sulinowo ;Borne Sulinowo, gmina Borne Sulinowo, powiat szczecinecki, województwo zachodniopomorskie, 78-449, Polska;53.5813;16.5381;14.2;0.25
52;Braniewo ;Braniewo, powiat braniewski, województwo warmińsko-mazurskie, Polska;54.3825;19.8276;14.7;0.256
53;Brańsk ;Brańsk, powiat bielski, województwo podlaskie, Polska;52.7673;22.8309;10.5;0.204
54;Brodnica ;Brodnica, powiat brodnicki, województwo kujawsko-pomorskie, 87-300, Polska;53.2581;19.3994;12.5;0.229
55;Brok ;Brok, gmina Brok, powiat ostrowski, województwo mazowieckie, 07-307, Polska;52.6989;21.8602;10.6;0.205
56;Brusy ;Brusy, gmina Brusy, powiat chojnicki, województwo pomorskie, 89-632, Polska;53.8862;17.7190;14.4;0.252
57;Brwinów ;Brwinów, gmina Brwinów, powiat pruszkowski, województwo mazowieckie, 05-840, Polska;52.1426;20.7171;9.9;0.195
58;Brzeg;Brzeg, powiat brzeski, województwo opolskie, Polska;50.8615;17.4705;8.5;0.176
59;Brzeg Dolny ;Brzeg Dolny, gmina Brzeg Dolny, powiat wołowski, województwo dolnośląskie, Polska;51.2614;16.7228;9.5;0.19
60;Brzesko ;Brzesko, gmina Brzesko, powiat brzeski, województwo małopolskie, Polska;49.9678;20.6068;5.9;0.138
61;Brzeszcze ;Brzeszcze, gmina Brzeszcze, powiat oświęcimski, województwo małopolskie, 32-620, Polska;49.9819;19.1528;6.4;0.145
62;Brześć Kujawski ;Brześć Kujawski, gmina Brześć Kujawski, powiat włocławski, województwo kujawsko-pomorskie, Polska;52.6048;18.9015;11.4;0.214
63;Brzeziny ;Brzeziny, powiat brzeziński, województwo łódzkie, 95-060, Polska;51.8005;19.7518;9.5;0.19
64;Brzostek ;Brzostek, gmina Brzostek, powiat dębicki, województwo podkarpackie, 39-230, Polska;49.8785;21.4119;5.6;0.132
65;Brzozów ;Brzozów, gmina Brzozów, powiat brzozowski, województwo podkarpackie, 36-200, Polska;49.6950;22.0197;5.1;0.125
66;Budzyń ;Budzyń, gmina Busko-Zdrój, powiat buski, województwo świętokrzyskie, Polska;50.3834;20.7657;6.6;0.148
